"chr"	"start"	"end"	"strand"	"transcript_id"	"gene_id"	"class_code"	"gene_name"	"ensembl"
"1"	7742250	7745133	"+"	"MSTRG.28.1"	" MSTRG.28"	" j"	" Adat2"	" ENSRNOT00000073460"
"1"	8276231	8333880	"+"	"MSTRG.32.2"	" MSTRG.32"	" j"	" Hivep2"	" ENSRNOT00000015131"
"1"	8276231	8333913	"+"	"MSTRG.32.1"	" MSTRG.32"	" j"	" Hivep2"	" ENSRNOT00000015131"
"1"	11765912	11772418	"+"	"MSTRG.36.1"	" MSTRG.36"	" j"	" AABR07000382.1"	" ENSRNOT00000081586"
"1"	11903553	11905479	"+"	"MSTRG.40.1"	" MSTRG.40"	" u"	NA	NA
"1"	11903554	11905475	"+"	"MSTRG.40.3"	" MSTRG.40"	" u"	NA	NA
"1"	11903554	11905475	"+"	"MSTRG.40.2"	" MSTRG.40"	" u"	NA	NA
"1"	11907690	11909541	"+"	"MSTRG.42.3"	" MSTRG.42"	" u"	NA	NA
"1"	11907690	11909541	"+"	"MSTRG.42.2"	" MSTRG.42"	" u"	NA	NA
"1"	11907690	11909550	"+"	"MSTRG.42.1"	" MSTRG.42"	" u"	NA	NA
"1"	11907711	11909541	"+"	"MSTRG.42.6"	" MSTRG.42"	" u"	NA	NA
"1"	11907711	11909541	"+"	"MSTRG.42.5"	" MSTRG.42"	" u"	NA	NA
"1"	11907711	11909550	"+"	"MSTRG.42.8"	" MSTRG.42"	" u"	NA	NA
"1"	11907711	11909550	"+"	"MSTRG.42.7"	" MSTRG.42"	" u"	NA	NA
"1"	11907711	11909550	"+"	"MSTRG.42.4"	" MSTRG.42"	" u"	NA	NA
"1"	11971443	11973054	"+"	"MSTRG.44.1"	" MSTRG.44"	" u"	NA	NA
"1"	12086113	12158671	"+"	"MSTRG.45.1"	" MSTRG.45"	" j"	" AABR07000411.1"	" ENSRNOT00000087070"
"1"	12823363	12825786	"+"	"MSTRG.46.1"	" MSTRG.46"	" ="	" Cited2"	" ENSRNOT00000086790"
"1"	13261876	13298343	"+"	"MSTRG.49.1"	" MSTRG.49"	" ="	" Reps1"	" ENSRNOT00000090703"
"1"	13705451	13707851	"+"	"MSTRG.51.1"	" MSTRG.51"	" p"	" Nhsl1"	" ENSRNOT00000079250"
"1"	14224393	14236846	"+"	"MSTRG.54.1"	" MSTRG.54"	" ="	" Perp"	" ENSRNOT00000016037"
"1"	15062432	15080907	"+"	"MSTRG.56.1"	" MSTRG.56"	" ="	" Ifngr1"	" ENSRNOT00000016286"
"1"	15412513	15547579	"+"	"MSTRG.58.1"	" MSTRG.58"	" c"	" Map3k5"	" ENSRNOT00000051496"
"1"	15551105	15583306	"+"	"MSTRG.59.1"	" MSTRG.59"	" j"	" Map3k5"	" ENSRNOT00000051496"
"1"	15591098	15615054	"+"	"MSTRG.60.1"	" MSTRG.60"	" j"	" Map3k5"	" ENSRNOT00000051496"
"1"	15641477	15734616	"+"	"MSTRG.61.2"	" MSTRG.61"	" j"	" Map7"	" ENSRNOT00000079845"
"1"	15641477	15750248	"+"	"MSTRG.61.1"	" MSTRG.61"	" j"	" Map7"	" ENSRNOT00000079845"
"1"	15799790	15828973	"+"	"MSTRG.63.1"	" MSTRG.63"	" j"	" Bclaf1"	" ENSRNOT00000088025"
"1"	15799853	15826636	"+"	"MSTRG.63.2"	" MSTRG.63"	" ="	" Bclaf1"	" ENSRNOT00000078589"
"1"	16472553	16607497	"+"	"MSTRG.66.1"	" MSTRG.66"	" j"	" Ahi1"	" ENSRNOT00000019076"
"1"	16472558	16607497	"+"	"MSTRG.66.2"	" MSTRG.66"	" j"	" Ahi1"	" ENSRNOT00000019076"
"1"	16819130	16822506	"+"	"MSTRG.65.1"	" MSTRG.65"	" j"	" Hbs1l"	" ENSRNOT00000086756"
"1"	16826652	16907027	"+"	"MSTRG.67.1"	" MSTRG.67"	" j"	" Hbs1l"	" ENSRNOT00000086756"
"1"	17595481	17630688	"+"	"MSTRG.69.1"	" MSTRG.69"	" j"	" LOC103690149"	" ENSRNOT00000075461"
"1"	18491312	19143473	"+"	"MSTRG.70.1"	" MSTRG.70"	" j"	" Lama2"	" ENSRNOT00000014917"
"1"	20097306	20098857	"+"	"MSTRG.71.1"	" MSTRG.71"	" p"	" L3mbtl3"	" ENSRNOT00000061404"
"1"	20115995	20116513	"+"	"MSTRG.72.1"	" MSTRG.72"	" ="	" LOC100360791"	" ENSRNOT00000044222"
"1"	20331976	20412381	"+"	"MSTRG.73.1"	" MSTRG.73"	" ="	" Tmem200a"	" ENSRNOT00000070858"
"1"	21142087	21265692	"+"	"MSTRG.75.1"	" MSTRG.75"	" j"	" Akap7"	" ENSRNOT00000017617"
"1"	21142138	21265686	"+"	"MSTRG.75.2"	" MSTRG.75"	" j"	" Akap7"	" ENSRNOT00000017617"
"1"	21142140	21265685	"+"	"MSTRG.75.4"	" MSTRG.75"	" j"	" Akap7"	" ENSRNOT00000017617"
"1"	21142140	21265685	"+"	"MSTRG.75.3"	" MSTRG.75"	" j"	" Akap7"	" ENSRNOT00000017617"
"1"	21235855	21265692	"+"	"MSTRG.75.5"	" MSTRG.75"	" j"	" Akap7"	" ENSRNOT00000017617"
"1"	22758577	22760383	"+"	"MSTRG.81.1"	" MSTRG.81"	" j"	" Rps12"	" ENSRNOT00000022184"
"1"	23977688	24002506	"+"	"MSTRG.84.1"	" MSTRG.84"	" ="	" Tbpl1"	" ENSRNOT00000014805"
"1"	24085433	24094339	"+"	"MSTRG.83.1"	" MSTRG.83"	" u"	NA	NA
"1"	25173242	25296927	"+"	"MSTRG.87.1"	" MSTRG.87"	" ="	" Clvs2"	" ENSRNOT00000016518"
"1"	27230451	28161490	"+"	"MSTRG.88.1"	" MSTRG.88"	" j"	" Nkain2"	" ENSRNOT00000075427"
"1"	27476375	28159290	"+"	"MSTRG.88.2"	" MSTRG.88"	" ="	" Nkain2"	" ENSRNOT00000075427"
"1"	28301922	28390837	"+"	"MSTRG.89.1"	" MSTRG.89"	" ="	" Rnf217"	" ENSRNOT00000017831"
"1"	28454974	28576552	"+"	"MSTRG.90.2"	" MSTRG.90"	" j"	" Tpd52l1"	" ENSRNOT00000078841"
"1"	28454974	28576583	"+"	"MSTRG.90.1"	" MSTRG.90"	" j"	" Tpd52l1"	" ENSRNOT00000078841"
"1"	29191192	29201531	"+"	"MSTRG.91.1"	" MSTRG.91"	" ="	" Hey2"	" ENSRNOT00000018718"
"1"	29224801	29386630	"+"	"MSTRG.93.1"	" MSTRG.93"	" j"	" Ncoa7"	" ENSRNOT00000018849"
"1"	29225546	29387261	"+"	"MSTRG.93.2"	" MSTRG.93"	" j"	" Ncoa7"	" ENSRNOT00000018849"
"1"	29413365	29423347	"+"	"MSTRG.92.1"	" MSTRG.92"	" ="	" Hint3"	" ENSRNOT00000019047"
"1"	29704877	29705777	"+"	"MSTRG.94.1"	" MSTRG.94"	" u"	NA	NA
"1"	30681681	30766860	"+"	"MSTRG.95.1"	" MSTRG.95"	" ="	" Rspo3"	" ENSRNOT00000015395"
"1"	30856945	30880552	"+"	"MSTRG.96.1"	" MSTRG.96"	" j"	" Rnf146"	" ENSRNOT00000015421"
"1"	31264755	31273159	"+"	"MSTRG.100.1"	" MSTRG.100"	" ="	" LOC679739"	" ENSRNOT00000028988"
"1"	31264765	31273159	"+"	"MSTRG.100.2"	" MSTRG.100"	" ="	" LOC679739"	" ENSRNOT00000076399"
"1"	31545631	31570601	"+"	"MSTRG.103.1"	" MSTRG.103"	" ="	" Sdha"	" ENSRNOT00000018336"
"1"	31576094	31591871	"+"	"MSTRG.104.1"	" MSTRG.104"	" j"	" Pdcd6"	" ENSRNOT00000019735"
"1"	31576183	31591849	"+"	"MSTRG.104.2"	" MSTRG.104"	" ="	" Pdcd6"	" ENSRNOT00000019735"
"1"	31700953	31731700	"+"	"MSTRG.106.1"	" MSTRG.106"	" ="	" Exoc3"	" ENSRNOT00000020251"
"1"	32573228	32581781	"+"	"MSTRG.112.1"	" MSTRG.112"	" ="	" LOC100912599"	" ENSRNOT00000072206"
"1"	32573238	32581781	"+"	"MSTRG.112.2"	" MSTRG.112"	" ="	" LOC100912599"	" ENSRNOT00000076142"
"1"	35280701	35328526	"+"	"MSTRG.114.1"	" MSTRG.114"	" ="	" Ice1"	" ENSRNOT00000061873"
"1"	35870067	35871907	"+"	"MSTRG.115.1"	" MSTRG.115"	" u"	NA	NA
"1"	35871993	35872425	"+"	"MSTRG.116.1"	" MSTRG.116"	" u"	NA	NA
"1"	36185916	36226276	"+"	"MSTRG.118.1"	" MSTRG.118"	" ="	" Ube2ql1"	" ENSRNOT00000041762"
"1"	36320461	36354756	"+"	"MSTRG.120.1"	" MSTRG.120"	" ="	" Srd5a1"	" ENSRNOT00000023659"
"1"	36400560	36433216	"+"	"MSTRG.121.1"	" MSTRG.121"	" j"	" Papd7"	" ENSRNOT00000023712"
"1"	37043147	37698390	"+"	"MSTRG.125.1"	" MSTRG.125"	" j"	" Adcy2"	" ENSRNOT00000047627"
"1"	37742989	37774940	"+"	"MSTRG.127.1"	" MSTRG.127"	" j"	" Mtrr"	" ENSRNOT00000024041"
"1"	39811314	39923057	"+"	"MSTRG.134.1"	" MSTRG.134"	" ="	" Ppp1r14c"	" ENSRNOT00000022046"
"1"	40287089	40521406	"+"	"MSTRG.135.1"	" MSTRG.135"	" j"	" Plekhg1"	" ENSRNOT00000021471"
"1"	40425399	40521389	"+"	"MSTRG.135.2"	" MSTRG.135"	" j"	" Plekhg1"	" ENSRNOT00000021471"
"1"	40529045	40719391	"+"	"MSTRG.136.1"	" MSTRG.136"	" ="	" Mthfd1l"	" ENSRNOT00000026564"
"1"	40816107	40906581	"+"	"MSTRG.137.1"	" MSTRG.137"	" ="	" Akap12"	" ENSRNOT00000060767"
"1"	40879747	40906581	"+"	"MSTRG.137.2"	" MSTRG.137"	" ="	" Akap12"	" ENSRNOT00000083702"
"1"	40934466	40939151	"+"	"MSTRG.138.1"	" MSTRG.138"	" u"	NA	NA
"1"	40982744	41006366	"+"	"MSTRG.140.1"	" MSTRG.140"	" j"	" Armt1"	" ENSRNOT00000026367"
"1"	41000417	41006370	"+"	"MSTRG.140.2"	" MSTRG.140"	" j"	" Armt1"	" ENSRNOT00000026367"
"1"	42169501	42177579	"+"	"MSTRG.141.1"	" MSTRG.141"	" ="	" Vip"	" ENSRNOT00000025477"
"1"	44018977	44171006	"+"	"MSTRG.151.1"	" MSTRG.151"	" j"	" Scaf8"	" ENSRNOT00000083425"
"1"	44018981	44174188	"+"	"MSTRG.151.2"	" MSTRG.151"	" j"	" Scaf8"	" ENSRNOT00000083425"
"1"	44019207	44119980	"+"	"MSTRG.151.3"	" MSTRG.151"	" ="	" Scaf8"	" ENSRNOT00000083425"
"1"	44398418	44433473	"+"	"MSTRG.148.1"	" MSTRG.148"	" j"	" Tiam2"	" ENSRNOT00000065386"
"1"	44449473	44449750	"+"	"MSTRG.150.1"	" MSTRG.150"	" i"	" Tfb1m"	" ENSRNOT00000078768"
"1"	45922149	46236508	"+"	"MSTRG.153.1"	" MSTRG.153"	" j"	" Arid1b"	" ENSRNOT00000022939"
"1"	45923155	46234860	"+"	"MSTRG.153.2"	" MSTRG.153"	" j"	" Arid1b"	" ENSRNOT00000022939"
"1"	46378852	46608193	"+"	"MSTRG.154.1"	" MSTRG.154"	" j"	" Zdhhc14"	" ENSRNOT00000043521"
"1"	46618143	46649296	"+"	"MSTRG.155.1"	" MSTRG.155"	" j"	" Zdhhc14"	" ENSRNOT00000043521"
"1"	46763219	46791860	"+"	"MSTRG.156.1"	" MSTRG.156"	" j"	" Snx9"	" ENSRNOT00000075268"
"1"	46795424	46827325	"+"	"MSTRG.157.1"	" MSTRG.157"	" j"	" Snx9"	" ENSRNOT00000075268"
"1"	46873011	46932529	"+"	"MSTRG.158.2"	" MSTRG.158"	" ="	" Synj2"	" ENSRNOT00000067661"
"1"	46873011	46932529	"+"	"MSTRG.158.1"	" MSTRG.158"	" ="	" Synj2"	" ENSRNOT00000068476"
"1"	46873012	46934020	"+"	"MSTRG.158.3"	" MSTRG.158"	" j"	" Synj2"	" ENSRNOT00000066798"
"1"	46978367	46984226	"+"	"MSTRG.159.1"	" MSTRG.159"	" j"	" Gtf2h5"	" ENSRNOT00000024211"
"1"	47003871	47131553	"+"	"MSTRG.160.2"	" MSTRG.160"	" j"	" Tulp4"	" ENSRNOT00000024412"
"1"	47003871	47131590	"+"	"MSTRG.160.1"	" MSTRG.160"	" j"	" Tulp4"	" ENSRNOT00000024412"
"1"	47004373	47131590	"+"	"MSTRG.160.3"	" MSTRG.160"	" j"	" Tulp4"	" ENSRNOT00000024412"
"1"	47149253	47208649	"+"	"MSTRG.161.1"	" MSTRG.161"	" j"	" Tmem181"	" ENSRNOT00000068457"
"1"	47162439	47208649	"+"	"MSTRG.161.2"	" MSTRG.161"	" j"	" Tmem181"	" ENSRNOT00000068457"
"1"	47942800	47967614	"+"	"MSTRG.167.1"	" MSTRG.167"	" j"	" Wtap"	" ENSRNOT00000025936"
"1"	47946688	47967613	"+"	"MSTRG.167.2"	" MSTRG.167"	" j"	" Wtap"	" ENSRNOT00000025936"
"1"	47972325	47989504	"+"	"MSTRG.168.2"	" MSTRG.168"	" j"	" Acat2"	" ENSRNOT00000077707"
"1"	47972325	47991274	"+"	"MSTRG.168.1"	" MSTRG.168"	" j"	" Acat2"	" ENSRNOT00000077707"
"1"	48016616	48022343	"+"	"MSTRG.170.1"	" MSTRG.170"	" c"	" Acat2l1"	" ENSRNOT00000076951"
"1"	48023213	48025954	"+"	"MSTRG.171.1"	" MSTRG.171"	" c"	" Acat2l1"	" ENSRNOT00000076951"
"1"	48033768	48038726	"+"	"MSTRG.172.1"	" MSTRG.172"	" ="	" Mrpl18"	" ENSRNOT00000020064"
"1"	48176106	48264477	"+"	"MSTRG.173.1"	" MSTRG.173"	" ="	" Igf2r"	" ENSRNOT00000021840"
"1"	48625754	48711634	"+"	"MSTRG.175.1"	" MSTRG.175"	" ="	" Map3k4"	" ENSRNOT00000084317"
"1"	48625798	48711645	"+"	"MSTRG.175.2"	" MSTRG.175"	" j"	" Map3k4"	" ENSRNOT00000084317"
"1"	50070131	50491467	"+"	"MSTRG.178.1"	" MSTRG.178"	" u"	NA	NA
"1"	50828580	50936647	"+"	"MSTRG.179.2"	" MSTRG.179"	" j"	" Qk"	" ENSRNOT00000089149"
"1"	50828580	50936647	"+"	"MSTRG.179.1"	" MSTRG.179"	" j"	" Qk"	" ENSRNOT00000089149"
"1"	50828580	51073159	"+"	"MSTRG.179.4"	" MSTRG.179"	" j"	" Qk"	" ENSRNOT00000089149"
"1"	50828580	51073159	"+"	"MSTRG.179.3"	" MSTRG.179"	" j"	" Qk"	" ENSRNOT00000089149"
"1"	50828581	50936645	"+"	"MSTRG.179.6"	" MSTRG.179"	" j"	" Qk"	" ENSRNOT00000089149"
"1"	50828581	51068635	"+"	"MSTRG.179.5"	" MSTRG.179"	" j"	" Qk"	" ENSRNOT00000089149"
"1"	50959322	50966558	"+"	"MSTRG.180.1"	" MSTRG.180"	" i"	" Qk"	" ENSRNOT00000035402"
"1"	53174879	53192048	"+"	"MSTRG.187.1"	" MSTRG.187"	" ="	" Rnaset2"	" ENSRNOT00000017601"
"1"	53220381	53499432	"+"	"MSTRG.188.1"	" MSTRG.188"	" j"	" Rps6ka2"	" ENSRNOT00000017809"
"1"	53220425	53499440	"+"	"MSTRG.188.2"	" MSTRG.188"	" j"	" Rps6ka2"	" ENSRNOT00000017809"
"1"	53360092	53499488	"+"	"MSTRG.188.3"	" MSTRG.188"	" j"	" Rps6ka2"	" ENSRNOT00000017809"
"1"	53360157	53499445	"+"	"MSTRG.188.4"	" MSTRG.188"	" ="	" Rps6ka2"	" ENSRNOT00000017809"
"1"	54754981	54755462	"+"	"MSTRG.196.1"	" MSTRG.196"	" u"	NA	NA
"1"	56949777	56952431	"+"	"MSTRG.201.1"	" MSTRG.201"	" j"	" LOC100125364"	" ENSRNOT00000020889"
"1"	57326423	57392112	"+"	"MSTRG.203.1"	" MSTRG.203"	" j"	" Fam120b"	" ENSRNOT00000084017"
"1"	57345571	57392112	"+"	"MSTRG.203.2"	" MSTRG.203"	" j"	" Fam120b"	" ENSRNOT00000084017"
"1"	57357081	57373932	"+"	"MSTRG.203.3"	" MSTRG.203"	" j"	" Fam120b"	" ENSRNOT00000084017"
"1"	57358576	57392112	"+"	"MSTRG.203.4"	" MSTRG.203"	" j"	" Fam120b"	" ENSRNOT00000084017"
"1"	57491389	57509877	"+"	"MSTRG.204.1"	" MSTRG.204"	" j"	" Tbp"	" ENSRNOT00000002038"
"1"	57555232	57565162	"+"	"MSTRG.206.1"	" MSTRG.206"	" u"	NA	NA
"1"	57691185	57745041	"+"	"MSTRG.209.1"	" MSTRG.209"	" j"	" Chd1"	" ENSRNOT00000019358"
"1"	57750564	57757934	"+"	"MSTRG.207.1"	" MSTRG.207"	" j"	" Chd1"	" ENSRNOT00000019358"
"1"	59129951	59146776	"+"	"MSTRG.211.1"	" MSTRG.211"	" ="	" Riok2"	" ENSRNOT00000017165"
"1"	59156251	59214452	"+"	"MSTRG.210.1"	" MSTRG.210"	" ="	" Lix1"	" ENSRNOT00000017442"
"1"	60717386	60736609	"+"	"MSTRG.213.1"	" MSTRG.213"	" ="	" Ppp2r1a"	" ENSRNOT00000015019"
"1"	61245330	61248644	"+"	"MSTRG.214.1"	" MSTRG.214"	" u"	NA	NA
"1"	63833411	63834702	"+"	"MSTRG.215.1"	" MSTRG.215"	" i"	" Lilrb3l"	" ENSRNOT00000087669"
"1"	64031582	64046161	"+"	"MSTRG.220.1"	" MSTRG.220"	" j"	" Mboat7l1"	" ENSRNOT00000090873"
"1"	64031859	64046135	"+"	"MSTRG.220.2"	" MSTRG.220"	" ="	" Mboat7l1"	" ENSRNOT00000090873"
"1"	64032146	64046137	"+"	"MSTRG.220.3"	" MSTRG.220"	" j"	" Mboat7l1"	" ENSRNOT00000090873"
"1"	64099628	64111953	"+"	"MSTRG.222.1"	" MSTRG.222"	" j"	" Mboat7"	" ENSRNOT00000078640"
"1"	64099882	64109656	"+"	"MSTRG.222.2"	" MSTRG.222"	" j"	" Mboat7"	" ENSRNOT00000078640"
"1"	64113357	64114444	"+"	"MSTRG.218.1"	" MSTRG.218"	" e"	" Mboat7"	" ENSRNOT00000078640"
"1"	64162544	64172305	"+"	"MSTRG.225.1"	" MSTRG.225"	" j"	" Tfpt"	" ENSRNOT00000089713"
"1"	64162672	64172470	"+"	"MSTRG.225.2"	" MSTRG.225"	" ="	" Tfpt"	" ENSRNOT00000089713"
"1"	64719988	64732323	"+"	"MSTRG.232.1"	" MSTRG.232"	" u"	NA	NA
"1"	65520914	65533234	"+"	"MSTRG.234.1"	" MSTRG.234"	" j"	" Mzf1"	" ENSRNOT00000058563"
"1"	65520943	65533270	"+"	"MSTRG.234.2"	" MSTRG.234"	" j"	" Mzf1"	" ENSRNOT00000058563"
"1"	65537640	65543700	"+"	"MSTRG.236.1"	" MSTRG.236"	" j"	" Ube2m"	" ENSRNOT00000031007"
"1"	65537736	65540712	"+"	"MSTRG.236.2"	" MSTRG.236"	" j"	" Ube2m"	" ENSRNOT00000031007"
"1"	65564173	65568300	"+"	"MSTRG.235.1"	" MSTRG.235"	" ="	" Zbtb45"	" ENSRNOT00000038860"
"1"	65805620	65806768	"+"	"MSTRG.241.1"	" MSTRG.241"	" x"	" AABR07002068.1"	" ENSRNOT00000075269"
"1"	65845266	65858984	"+"	"MSTRG.242.1"	" MSTRG.242"	" j"	" Zscan18"	" ENSRNOT00000036880"
"1"	67137122	67137597	"+"	"MSTRG.244.1"	" MSTRG.244"	" u"	NA	NA
"1"	68436917	68488427	"+"	"MSTRG.247.1"	" MSTRG.247"	" ="	" Lnpep"	" ENSRNOT00000088586"
"1"	69265885	69266109	"+"	"MSTRG.246.1"	" MSTRG.246"	" u"	NA	NA
"1"	69788609	69820981	"+"	"MSTRG.248.1"	" MSTRG.248"	" ="	" NEWGENE_1305281"	" ENSRNOT00000075340"
"1"	69853553	69859391	"+"	"MSTRG.249.1"	" MSTRG.249"	" ="	" Zfp954"	" ENSRNOT00000042086"
"1"	70210783	70237457	"+"	"MSTRG.252.1"	" MSTRG.252"	" j"	" Peg3"	" ENSRNOT00000050180"
"1"	71434819	71447195	"+"	"MSTRG.255.1"	" MSTRG.255"	" ="	" Zfp787"	" ENSRNOT00000059069"
"1"	72380711	72387301	"+"	"MSTRG.259.1"	" MSTRG.259"	" ="	" Fiz1"	" ENSRNOT00000022236"
"1"	72516705	72564512	"+"	"MSTRG.266.1"	" MSTRG.266"	" j"	" Shisa7"	" ENSRNOT00000022698"
"1"	72524519	72545334	"+"	"MSTRG.267.1"	" MSTRG.267"	" j"	" Isoc2b"	" ENSRNOT00000022620"
"1"	72524569	72545329	"+"	"MSTRG.267.2"	" MSTRG.267"	" ="	" Isoc2b"	" ENSRNOT00000022620"
"1"	72580424	72584482	"+"	"MSTRG.265.1"	" MSTRG.265"	" ="	" Ube2s"	" ENSRNOT00000022977"
"1"	72732498	72756177	"+"	"MSTRG.271.1"	" MSTRG.271"	" j"	" Hspbp1"	" ENSRNOT00000024251"
"1"	72732668	72756082	"+"	"MSTRG.271.2"	" MSTRG.271"	" ="	" Hspbp1"	" ENSRNOT00000024251"
"1"	72756809	72783448	"+"	"MSTRG.272.1"	" MSTRG.272"	" ="	" Ppp6r1"	" ENSRNOT00000082423"
"1"	72757881	72784482	"+"	"MSTRG.272.2"	" MSTRG.272"	" ="	" Ppp6r1"	" ENSRNOT00000024400"
"1"	72860213	72867942	"+"	"MSTRG.273.2"	" MSTRG.273"	" j"	" Syt5"	" ENSRNOT00000024547"
"1"	72860213	72867950	"+"	"MSTRG.273.1"	" MSTRG.273"	" ="	" Syt5"	" ENSRNOT00000024547"
"1"	72903394	72926106	"+"	"MSTRG.275.1"	" MSTRG.275"	" j"	" Ppp1r12c"	" ENSRNOT00000086122"
"1"	72956026	72984350	"+"	"MSTRG.274.1"	" MSTRG.274"	" ="	" Rdh13"	" ENSRNOT00000031462"
"1"	75233706	75249808	"+"	"MSTRG.277.1"	" MSTRG.277"	" j"	" LOC100911727"	" ENSRNOT00000064178"
"1"	75250190	75264451	"+"	"MSTRG.278.1"	" MSTRG.278"	" c"	" LOC100911727"	" ENSRNOT00000064178"
"1"	75356220	75394758	"+"	"MSTRG.280.1"	" MSTRG.280"	" ="	" Lig1"	" ENSRNOT00000019799"
"1"	77541359	77541814	"+"	"MSTRG.282.1"	" MSTRG.282"	" ="	" LOC103690015"	" ENSRNOT00000049028"
"1"	77813373	77813958	"+"	"MSTRG.283.1"	" MSTRG.283"	" u"	NA	NA
"1"	77820682	77821160	"+"	"MSTRG.285.1"	" MSTRG.285"	" u"	NA	NA
"1"	77944045	77946442	"+"	"MSTRG.288.1"	" MSTRG.288"	" u"	NA	NA
"1"	77994203	78012845	"+"	"MSTRG.289.1"	" MSTRG.289"	" ="	" Napa"	" ENSRNOT00000002044"
"1"	78015722	78060525	"+"	"MSTRG.291.1"	" MSTRG.291"	" j"	" Kptn"	" ENSRNOT00000002043"
"1"	78025455	78060412	"+"	"MSTRG.291.2"	" MSTRG.291"	" j"	" Slc8a2"	" ENSRNOT00000086396"
"1"	78025995	78060111	"+"	"MSTRG.291.3"	" MSTRG.291"	" ="	" Slc8a2"	" ENSRNOT00000086396"
"1"	78040107	78060412	"+"	"MSTRG.291.4"	" MSTRG.291"	" j"	" Slc8a2"	" ENSRNOT00000086396"
"1"	78040122	78060402	"+"	"MSTRG.291.5"	" MSTRG.291"	" j"	" Slc8a2"	" ENSRNOT00000086396"
"1"	78040122	78060525	"+"	"MSTRG.291.6"	" MSTRG.291"	" j"	" Slc8a2"	" ENSRNOT00000086396"
"1"	78065309	78079709	"+"	"MSTRG.290.1"	" MSTRG.290"	" j"	" Meis3"	" ENSRNOT00000039538"
"1"	78068931	78079862	"+"	"MSTRG.290.2"	" MSTRG.290"	" ="	" Meis3"	" ENSRNOT00000039538"
"1"	78354934	78390907	"+"	"MSTRG.295.1"	" MSTRG.295"	" ="	" Zc3h4"	" ENSRNOT00000020509"
"1"	78417719	78420427	"+"	"MSTRG.296.1"	" MSTRG.296"	" ="	" Tmem160"	" ENSRNOT00000020609"
"1"	78671121	78682871	"+"	"MSTRG.298.1"	" MSTRG.298"	" ="	" Ap2s1"	" ENSRNOT00000021310"
"1"	78739930	78765692	"+"	"MSTRG.300.1"	" MSTRG.300"	" ="	" Strn4"	" ENSRNOT00000021976"
"1"	78740836	78765695	"+"	"MSTRG.300.2"	" MSTRG.300"	" j"	" Strn4"	" ENSRNOT00000021976"
"1"	78740837	78765695	"+"	"MSTRG.300.3"	" MSTRG.300"	" j"	" Strn4"	" ENSRNOT00000021976"
"1"	78800754	78812483	"+"	"MSTRG.301.1"	" MSTRG.301"	" ="	" Dact3"	" ENSRNOT00000084601"
"1"	78818404	78822207	"+"	"MSTRG.302.1"	" MSTRG.302"	" ="	" Gng8"	" ENSRNOT00000090417"
"1"	78876135	78880394	"+"	"MSTRG.304.1"	" MSTRG.304"	" o"	" Pnmal2"	" ENSRNOT00000022610"
"1"	78876161	78880363	"+"	"MSTRG.304.2"	" MSTRG.304"	" o"	" Pnmal2"	" ENSRNOT00000022610"
"1"	78876161	78884383	"+"	"MSTRG.304.3"	" MSTRG.304"	" o"	" Pnmal2"	" ENSRNOT00000022610"
